year,make,model,range
2002,Ford,Th!nk,50
2008,Tesla,Roadster,220
2010,Tesla,Roadster,200
2011,BMW,Active E,94
2011,Nissan,Leaf,73
2011,smart,fortwo,63
2011,Tesla,Roadster,245
2012,Ford,Focus,76
2012,Ford,Transit Connect,52
2012,Mitsubishi,i-MiEV,62
2012,Nissan,Leaf,73
2012,Tesla,Model S,265
2012,Toyota,RAV4,103
2013,FIAT,500e,87
2013,Ford,Focus,76
2013,Nissan,Leaf,75
2013,smart,fortwo,68
2013,Tesla,Model S,204
2013,Toyota,RAV4,103
2014,BMW,i3,81
2014,Chevrolet,Spark,82
2014,FIAT,500e,87
2014,Ford,Focus,76
2014,Mercedes-Benz,B Class,87
2014,Mitsubishi,i-MiEV,62
2014,Nissan,Leaf,84
2014,smart,fortwo,68
2014,Tesla,Model S,238
2014,Toyota,RAV4,103
2015,BMW,i3,81
2015,Chevrolet,Spark,82
2015,FIAT,500e,87
2015,Ford,Focus,76
2015,Kia,Soul,93
2015,Mercedes-Benz,B Class,87
2015,Nissan,Leaf,84
2015,smart,fortwo,68
2015,Tesla,Model S,253
2015,Volkswagen,e-Golf,83
2016,BMW,i3,81
2016,Chevrolet,Spark,82
2016,FIAT,500e,84
2016,Ford,Focus,76
2016,Kia,Soul,93
2016,Mercedes-Benz,B Class,87
2016,Mitsubishi,i-MiEV,62
2016,Nissan,Leaf,96
2016,smart,fortwo,68
2016,Tesla,Model S,257
2016,Tesla,Model X,247
2016,Volkswagen,e-Golf,83
2017,BMW,i3,98
2017,Chevrolet,Bolt EV,238
2017,FIAT,500e,84
2017,Ford,Focus,115
2017,Honda,Clarity,89
2017,Hyundai,Ioniq,124
2017,Kia,Soul,93
2017,Mercedes-Benz,B Class,87
2017,Mitsubishi,i-MiEV,59
2017,Nissan,Leaf,107
2017,smart,fortwo,58
2017,Tesla,Model 3,310
2017,Tesla,Model S,269
2017,Tesla,Model X,255
2017,Volkswagen,e-Golf,125
2018,BMW,i3,114
2018,Chevrolet,Bolt EV,238
2018,FIAT,500e,84
2018,Ford,Focus,115
2018,Honda,Clarity,89
2018,Hyundai,Ioniq,124
2018,Kia,Soul,111
2018,Nissan,Leaf,151
2018,smart,fortwo,58
2018,Tesla,Model 3,298
2018,Tesla,Model S,290
2018,Tesla,Model X,274
2018,Volkswagen,e-Golf,125
2019,Audi,e-tron,204
2019,BMW,i3,153
2019,Chevrolet,Bolt EV,238
2019,FIAT,500e,84
2019,Hyundai,Ioniq,124
2019,Hyundai,Kona,258
2019,Jaguar,I-Pace,234
2019,Kia,Niro,239
2019,Kia,Soul,111
2019,Nissan,Leaf,197
2019,smart,fortwo,58
2019,Tesla,Model 3,276
2019,Tesla,Model S,319
2019,Tesla,Model X,283
2019,Volkswagen,e-Golf,125
2020,Audi,e-tron,218
2020,BMW,i3,153
2020,Chevrolet,Bolt EV,259
2020,Hyundai,Ioniq,170
2020,Hyundai,Kona,258
2020,Jaguar,I-Pace,234
2020,Kia,Niro,239
2020,Kia,Soul,243
2020,MINI,Cooper,110
2020,Nissan,Leaf,197
2020,Porsche,Taycan,199
2020,Tesla,Model 3,289
2020,Tesla,Model S,347
2020,Tesla,Model X,303
2020,Tesla,Model Y,307
2021,Audi,e-tron,220
2021,BMW,i3,153
2021,Chevrolet,Bolt EV,259
2021,Ford,Mustang Mach-E,221
2021,Hyundai,Kona,258
2021,Jaguar,I-Pace,234
2021,Porsche,Taycan,213
2021,Tesla,Model 3,310
2021,Tesla,Model S,361
2021,Tesla,Model X,337
2021,Tesla,Model Y,315
2021,Volvo,XC40,208
