Name,Subtitle,Acceleration,TopSpeed (/H),Range (KM),Range (Miles),Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinUS
Opel Ampera-e ,Battery Electric Vehicle |       58 kWh ,7.3 sec,150 /h,335,207.7,173 Wh/,210 /h,Front Wheel Drive,5,"42,990",N/A,40845.25
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle |       31 kWh ,22.4 sec,130 /h,160,99.2,194 Wh/,-,Front Wheel Drive,5,N/A,"31,680",30100.75
Nissan Leaf ,Battery Electric Vehicle |       36 kWh ,7.9 sec,144 /h,220,136.4,164 Wh/,230 /h,Front Wheel Drive,5,"29,990","25,995",53190.5
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 /h,375,232.5,231 Wh/,600 /h,All Wheel Drive,5,N/A,"79,900",75909.75
Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,2.8 sec,260 /h,390,241.8,215 Wh/,860 /h,All Wheel Drive,4,"186,336","138,830",308911.5
Nissan e-NV200 Evalia ,Battery Electric Vehicle |       36 kWh ,14.0 sec,123 /h,165,102.3,218 Wh/,170 /h,Front Wheel Drive,7,"43,433","30,255",70010.25
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,8.9 sec,160 /h,275,170.5,164 Wh/,260 /h,Rear Wheel Drive,5,"31,960","27,120",56130.75
BMW iX3 ,Battery Electric Vehicle |       74 kWh,6.8 sec,180 /h,385,238.7,192 Wh/,520 /h,Rear Wheel Drive,5,"66,300","58,850",118897.25
Nissan Leaf e+,Battery Electric Vehicle |       56 kWh ,7.3 sec,157 /h,325,201.5,172 Wh/,390 /h,Front Wheel Drive,5,"38,350","30,445",65360
BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,7.3 sec,150 /h,235,145.7,161 Wh/,270 /h,Rear Wheel Drive,4,"39,000","31,305",66793.55
Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,8.9 sec,160 /h,355,220.1,187 Wh/,420 /h,Front Wheel Drive,5,"47,541","43,495",86488.95
DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh ,8.7 sec,150 /h,250,155,180 Wh/,330 /h,Front Wheel Drive,5,"30,040","31,500",58467.75
BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,6.9 sec,160 /h,230,142.6,165 Wh/,260 /h,Rear Wheel Drive,4,"42,600","32,305",71163.55
Sono Sion ,Battery Electric Vehicle |       47 kWh ,9.0 sec,140 /h,260,161.2,181 Wh/,310 /h,Front Wheel Drive,5,"25,500",N/A,24229.75
Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,3.3 sec,250 /h,405,251.1,210 Wh/,810 /h,All Wheel Drive,4,"138,200","110,950",236696.3
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 /h,370,229.4,173 Wh/,350 /h,Front Wheel Drive,5,N/A,"37,545",35672.5
Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,11.4 sec,135 /h,315,195.3,165 Wh/,230 /h,Front Wheel Drive,5,"31,990","26,795",55850.5
